,0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950
D0_x,408.18,408.736,415.957,423.062,427.106,430.848,443.461,445.424,442.548,450.725,462.699,469.51,484.783,503.685,465.528,463.734,452.156,452.275,460.609,463.395
D0_y,299.346,303.817,306.206,297.685,296.229,296.471,291.1,286.214,283.155,280.519,280.759,284.158,285.976,301.251,288.914,324.838,332.057,342.675,347.726,360.762
D1_x,214.744,214.762,214.762,214.762,214.762,214.762,214.762,214.762,214.762,214.762,214.762,214.762,214.762,214.762,214.762,214.762,214.757,214.428,214.08,212.207
D1_y,26.6328,29.7392,29.7392,29.7392,29.7392,29.7392,29.7392,29.7392,29.7392,29.7392,29.7392,29.7392,29.7392,29.7392,29.7392,29.7392,29.7139,28.9916,28.6796,28.1549
D2_x,456.869,459.316,455.257,456.217,461.341,467.543,467.739,463.577,460.83,459.797,459.29,459.655,461.412,462.062,454.607,445.383,442.455,435.858,438.941,438.832
D2_y,477.118,481.448,481.141,476.173,475.127,467.719,465.868,471.259,478.882,480.091,479.944,477.672,472.553,477.39,478.011,453.344,444.38,440.906,441.126,445.516
D3_x,55.7014,41.6708,37.9874,35.963,30.1602,30.2596,28.7435,20.7218,22.0376,27.4912,28.1698,28.197,28.2215,28.2266,28.2559,28.3208,28.4478,28.5368,28.5485,30.831
D3_y,163.56,156.047,156.799,156.257,154.487,154.572,155.735,156.456,154.477,158.636,159.599,159.68,159.749,159.764,159.852,160.066,160.131,160.213,160.257,163.08
D4_x,243.419,237.748,232.892,238.19,240.097,268.869,260.638,252.987,247.496,247.364,247.366,247.341,250.593,250.584,250.64,251.585,244.904,245.085,245.576,240.379
D4_y,165.099,165.468,171.959,181.13,175.835,174.651,146.613,143.824,142.718,141.953,141.942,141.901,141.287,141.306,141.33,142.154,144.807,147.457,147.078,153.562
D5_x,191.021,198.846,203.679,195.448,191.129,183.486,173.752,172.229,173.965,160.676,160.594,157.626,144.237,141.009,137.952,128.895,121.484,112.783,107.853,104.006
D5_y,233.452,234.148,239.947,241.166,252.992,258.901,259.366,271.849,267.677,276.399,281.81,281.52,272.173,277.238,283.123,281.315,282.296,281.919,278.641,275.451
D6_x,110.435,119.278,116.131,119.645,122.452,120.768,118.846,117.812,117.997,120.902,118.208,109.795,109.163,106.818,98.0364,101.434,101.209,94.6309,93.1757,90.0312
D6_y,244.283,249.531,258.736,262.288,266.881,269.982,274.115,279.584,284.99,291.26,292.103,286.491,281.206,286.092,298.199,302.922,293.708,289.044,276.044,274.296
D7_x,315.682,310.224,304.526,298.12,293.601,289.012,292.304,289.935,288.998,300.843,302.642,294.902,286.596,285.815,278.997,277.252,279.241,285.479,288.329,288.58
D7_y,437.197,444.303,450.061,448.371,444.777,449.111,441.085,457.808,465.144,481.124,474.678,478.159,473.288,472.385,463.865,465.049,470.76,466.426,469.394,469.724
D8_x,169.271,171.067,170.495,172.732,159.753,171.639,159.254,155.411,162.564,150.676,153.532,151.299,154.551,155.715,151.397,139.22,132.727,128.821,123.866,119.367
D8_y,294.487,293.673,293.717,296.744,303.711,317.755,308.908,315.681,309.014,304.372,301.601,296.671,298.188,304.371,303.743,302.322,300.111,299.086,296.991,294.811
D9_x,372.7,367.722,364.199,362.998,363.964,369.118,371.086,374.917,377.62,379.121,379.117,382.141,388.142,400.77,415.144,426.284,425.206,439.468,428.769,413.622
