,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
D0_x,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225,261.225
D0_y,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62,216.62
D1_x,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217,147.217
D1_y,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007,386.007
D2_x,411.093,409.98,409.611,411.58,414.378,414.76,416.559,416.238,416.548,416.636,417.354,417.386,417.461,417.778,417.746,417.73,417.726,417.716,417.665,417.746,417.867,418.014,418.198,418.263,418.277,418.317,418.384,418.469,418.556,418.635,418.701,418.758,418.817,418.886,418.973,419.083,419.232,419.448,419.753,419.958,420.067,420.125,420.179,420.223,420.27,420.305,420.331,420.349,420.364,420.388
D2_y,274.418,274.487,275.897,278.339,282.982,283.259,282.636,281.859,281.152,281.198,281.0,280.814,280.71,280.727,280.657,280.615,280.603,280.691,280.97,281.055,281.441,281.955,282.355,282.456,282.439,282.458,282.518,282.608,282.706,282.792,282.86,282.919,282.982,283.058,283.156,283.281,283.438,283.641,283.865,283.999,284.069,284.105,284.139,284.167,284.197,284.218,284.234,284.246,284.255,284.27
D3_x,141.584,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.068,141.077,141.093,141.069,141.028,140.986,140.951,140.922,140.9,140.882
D3_y,346.338,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.653,344.73,344.979,345.14,345.237,345.306,345.361,345.409,345.452,345.49
D4_x,455.457,455.461,455.465,455.469,455.474,455.481,455.488,455.495,455.502,455.509,455.516,455.523,455.53,455.537,455.543,455.55,455.557,455.563,455.57,455.577,455.583,455.59,455.596,455.602,455.609,455.615,455.622,455.628,455.634,455.64,455.646,455.653,455.659,455.665,455.671,455.677,455.683,455.689,455.695,455.7,455.706,455.712,455.718,455.724,455.729,455.735,455.74,455.746,455.752,455.757
D4_y,400.192,400.167,400.145,400.122,400.101,400.082,400.063,400.045,400.026,400.007,399.988,399.97,399.951,399.932,399.913,399.894,399.875,399.857,399.838,399.819,399.8,399.781,399.762,399.743,399.724,399.705,399.686,399.667,399.648,399.629,399.61,399.591,399.572,399.553,399.534,399.515,399.496,399.477,399.458,399.438,399.419,399.4,399.381,399.362,399.343,399.324,399.304,399.285,399.266,399.247
